Energy (eV),Derivative of intensity (a.u.)
29.928057553956833,0.06484641638225253
30.01027749229188,0.07053469852104666
30.092497430626928,0.07053469852104666
30.17471736896197,0.07736063708759955
30.25693730729702,0.07736063708759955
30.339157245632066,0.08077360637087594
30.42137718396711,0.08077360637087594
30.503597122302157,0.08077360637087594
30.585817060637204,0.08077360637087594
30.66803699897225,0.08077360637087594
30.750256937307295,0.08077360637087594
30.832476875642342,0.07736063708759955
30.91469681397739,0.07736063708759955
30.996916752312433,0.07736063708759955
31.07913669064748,0.07167235494880542
31.161356628982528,0.06825938566552903
31.243576567317575,0.06712172923777016
31.32579650565262,0.06712172923777016
31.408016443987666,0.0659840728100114
31.490236382322713,0.06484641638225253
31.572456320657757,0.06370875995449377
31.654676258992804,0.0625711035267349
31.73689619732785,0.061433447098976135
