Energy (eV),Re(alpha) (a.u.),Im(alpha) (a.u.),abs(alpha) (a.u.)
12.006387921022068,0.3939690601863766,0.8064738693339034,0.8975587570195808
11.506140318331912,0.4099632041127388,0.634068377761258,0.7550579689025052
11.005828963828485,0.321149380697347,0.7012156582962311,0.7712589216094076
10.505589430894311,0.21755266647029073,0.8613426721160039,0.8883920089106336
10.005323267518392,0.1768947174172099,1.086816861154085,1.1011188086391641
9.505018772507857,0.22524185677385403,1.3603336756282607,1.378855178432901
9.004790940766553,0.3696242852911577,1.5609173282174011,1.6040838562264597
8.504497339987934,0.5883459536040538,1.4988391975268287,1.6101769782123738
8.004258614014711,0.8307786597912367,1.2051842307683054,1.4637835262282177
7.503992450638792,1.0428736327371138,0.8939416243262136,1.373578189096381
7.003726287262873,1.1930284512071965,0.6657806248010465,1.3662286506109853
6.503447010406565,1.2911055545104653,0.5145108064774703,1.3898470861464842
6.003193960511034,1.3934936294034723,0.4101777288443557,1.4526080904455874
5.502914481914242,1.6108886573810677,0.3234792219035626,1.6430462785577018
5.002661633759196,2.1620688796971006,0.23347159095511372,2.1746380904274134
4.752527593776699,2.6964908025300343,0.18678156478303687,2.7029520900437483
4.502395470383276,3.529194562541728,0.1427018879441702,3.5320784375629213
4.252248669993967,4.791018233939415,0.10466621225991085,4.792161384378534
4.002129307007356,6.631890732635405,0.07458284292988561,6.632310102074154
3.751984877126654,9.166825559360861,0.05239339265451773,9.16697528650238
3.501853258092655,12.359045460879376,0.03684872365708154,12.359100393334389
3.2517235052032825,15.904465829556294,0.026277979344053973,15.904487538293152
3.0015897174077684,19.15158299236767,0.019192139300659803,19.151592608756
2.751457240957121,21.204826320691463,0.014463451290017536,21.204831253327924
2.501325773233294,21.29278254434241,0.011289111359699108,21.292785537000274
2.251193649837308,19.15487365142071,0.009140971083920865,19.154875832519608
2.0010614255687416,15.172877324960284,0.0076917939620954395,15.17287927461325
1.7509291004275345,10.291040617534184,0.006752813793296603,10.291042833077341
1.5007966744136245,5.6338918694182745,0.006284864318155978,5.633895374944128
1.250662886616647,2.2607618806723324,0.006502695450115783,2.260771232599446
1.0005307127843708,0.7945966122858797,0.00851456176940906,0.794642230200687
0.7503978832791027,1.1753343549496893,0.009123940122944011,1.1753697682892688
0.5002653563921854,22.08744715677148,0.0007941440658155031,22.087447171048023
